fat_id,path,start,end,size,class,note
81,/battle/bst011_tex.bin,4552704,4557352,4648,container,"in-house EZBIND"
82,/battle/bst012_mdl.bin,4557824,4577128,19304,container,"in-house EZBIND"
83,/battle/bst012_tex.bin,4577280,4582024,4744,container,"in-house EZBIND"
84,/battle/bst013_mdl.bin,4582400,4601704,19304,container,"in-house EZBIND"
85,/battle/bst013_tex.bin,4601856,4606568,4712,container,"in-house EZBIND"
86,/battle/bst014_mdl.bin,4606976,4626280,19304,container,"in-house EZBIND"
87,/battle/bst014_tex.bin,4626432,4631096,4664,container,"in-house EZBIND"
88,/battle/bst01g_mdl.bin,4631552,4648092,16540,container,"in-house EZBIND"
89,/battle/bst01g_tex.bin,4648448,4653016,4568,container,"in-house EZBIND"
90,/battle/bst020_mdl.bin,4653056,4674548,21492,container,"in-house EZBIND"
91,/battle/bst020_mot.bin,4674560,4773276,98716,container,"in-house EZBIND"
92,/battle/bst020_tex.bin,4773376,4782024,8648,container,"in-house EZBIND"
93,/battle/bst021_mdl.bin,4782080,4803572,21492,container,"in-house EZBIND"
94,/battle/bst021_tex.bin,4803584,4812264,8680,container,"in-house EZBIND"
95,/battle/bst022_mdl.bin,4812288,4833780,21492,container,"in-house EZBIND"
96,/battle/bst022_tex.bin,4833792,4842472,8680,container,"in-house EZBIND"
97,/battle/bst023_mdl.bin,4842496,4863988,21492,container,"in-house EZBIND"
98,/battle/bst023_tex.bin,4864000,4872648,8648,container,"in-house EZBIND"
99,/battle/bst025_mdl.bin,4872704,4894196,21492,container,"in-house EZBIND"
100,/battle/bst025_tex.bin,4894208,4902952,8744,container,"in-house EZBIND"
101,/battle/bst02g_mdl.bin,4903424,4922128,18704,container,"in-house EZBIND"
102,/battle/bst02g_tex.bin,4922368,4931000,8632,container,"in-house EZBIND"
103,/battle/bst042_mdl.bin,4931072,4966100,35028,container,"in-house EZBIND"
104,/battle/bst042_mot.bin,4966400,5169212,202812,container,"in-house EZBIND"
105,/battle/bst042_tex.bin,5169664,5179516,9852,container,"in-house EZBIND"
106,/battle/bst04g_mdl.bin,5179904,5209020,29116,container,"in-house EZBIND"
107,/battle/bst04g_tex.bin,5209088,5217784,8696,container,"in-house EZBIND"
108,/battle/bst050_mdl.bin,5217792,5245316,27524,container,"in-house EZBIND"
109,/battle/bst050_mot.bin,5245440,5365844,120404,container,"in-house EZBIND"
110,/battle/bst050_tex.bin,5366272,5383176,16904,container,"in-house EZBIND"
111,/battle/bst051_mdl.bin,5383680,5411408,27728,container,"in-house EZBIND"
112,/battle/bst051_tex.bin,5411840,5420504,8664,container,"in-house EZBIND"
113,/battle/bst052_mdl.bin,5420544,5447048,26504,container,"in-house EZBIND"
114,/battle/bst052_tex.bin,5447168,5456956,9788,container,"in-house EZBIND"
115,/battle/bst053_mdl.bin,5457408,5485212,27804,container,"in-house EZBIND"
116,/battle/bst053_tex.bin,5485568,5494280,8712,container,"in-house EZBIND"
117,/battle/bst05g_mdl.bin,5494784,5516072,21288,container,"in-house EZBIND"
118,/battle/bst05g_tex.bin,5516288,5524936,8648,container,"in-house EZBIND"
119,/battle/bst060_mdl.bin,5524992,5549296,24304,container,"in-house EZBIND"
120,/battle/bst060_mot.bin,5549568,5678328,128760,container,"in-house EZBIND"
